Gas;Brake;Fuel;Gear;Rpms;SteerAngle;SpeedKmh;Heading;Pitch;Roll;BrakeTemp_front_left;BrakeTemp_front_right;BrakeTemp_rear_left;BrakeTemp_rear_right;TyreTempI_front_left;TyreTempI_front_right;TyreTempI_rear_left;TyreTempI_rear_right;TyreTempM_front_left;TyreTempM_front_right;TyreTempM_rear_left;TyreTempM_rear_right;TyreTempO_front_left;TyreTempO_front_right;TyreTempO_rear_left;TyreTempO_rear_right;isNewLap
1;0;65;4;7916;0.05874275;146.7184;1.8820117;-0.009208784;-0.00028196513;589.0812;602.77637;309.93323;311.5449;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;4;8083;0.05874275;148.32848;1.9067692;-0.012602394;-0.0043578935;586.58575;600.2106;309.02707;310.6334;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;4;8156;0.057277;149.94234;1.9393092;-0.009291546;-0.000381944;584.08124;597.6356;308.11557;309.71658;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;4;8237;0.055473;151.34674;1.9642104;-0.008808204;0.0029153656;581.5695;595.0536;307.1995;308.79507;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;4;8262;0.05242875;152.90675;1.9926261;-0.0067920354;-0.0018853075;579.0479;592.4614;306.2777;307.8678;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;4;8420;0.050512;154.36568;2.0152156;-0.010246554;-0.001853271;576.5191;589.86224;305.3513;306.9359;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;4;8431;0.04588925;155.79709;2.0409672;-0.006683193;-0.00055367255;573.981;587.25366;304.4194;305.99857;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;4;8547;0.043183252;157.3911;2.0641387;-0.0070771677;0.00065945747;571.4357;584.6379;303.48288;305.0565;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;4;8596;0.043183252;158.81973;2.0836375;-0.007839057;-0.003179377;568.88055;582.01215;302.54056;304.10864;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;4;8695;0.043183252;160.34636;2.1063325;-0.008171186;-0.002366;566.3199;579.3811;301.5943;303.1568;0;0;0;0;0;0;0;0;0;0;0;0;0
